Date,Bank,StockPrice
03/04/2023,BBCA,8264
04/04/2023,BBCA,8241
05/04/2023,BBCA,8194
06/04/2023,BBCA,8217
10/04/2023,BBCA,8264
11/04/2023,BBCA,8288
12/04/2023,BBCA,8358
13/04/2023,BBCA,8382
14/04/2023,BBCA,8452
17/04/2023,BBCA,8475
18/04/2023,BBCA,8569
03/07/2023,BBCA,8522
04/07/2023,BBCA,8499
05/07/2023,BBCA,8499
06/07/2023,BBCA,8522
07/07/2023,BBCA,8475
10/07/2023,BBCA,8499
11/07/2023,BBCA,8475
12/07/2023,BBCA,8616
13/07/2023,BBCA,8569
14/07/2023,BBCA,8640
17/07/2023,BBCA,8616
18/07/2023,BBCA,8593
20/07/2023,BBCA,8593
02/10/2023,BBCA,8522
03/10/2023,BBCA,8640
04/10/2023,BBCA,8640
05/10/2023,BBCA,8522
06/10/2023,BBCA,8475
09/10/2023,BBCA,8499
10/10/2023,BBCA,8382
11/10/2023,BBCA,8382
12/10/2023,BBCA,8499
13/10/2023,BBCA,8522
16/10/2023,BBCA,8546
17/10/2023,BBCA,8405
18/10/2023,BBCA,8311
19/10/2023,BBCA,8217
20/10/2023,BBCA,8429
02/01/2024,BBCA,8893
03/01/2024,BBCA,8823
04/01/2024,BBCA,8941
05/01/2024,BBCA,9035
08/01/2024,BBCA,9035
09/01/2024,BBCA,9082
10/01/2024,BBCA,9011
11/01/2024,BBCA,9035
12/01/2024,BBCA,9153
15/01/2024,BBCA,9176
16/01/2024,BBCA,9153
17/01/2024,BBCA,9200
18/01/2024,BBCA,9129
19/01/2024,BBCA,9082
01/04/2024,BBCA,9509
02/04/2024,BBCA,9557
03/04/2024,BBCA,9195
04/04/2024,BBCA,9509
05/04/2024,BBCA,9484
16/04/2024,BBCA,9147
17/04/2024,BBCA,9195
18/04/2024,BBCA,9147
19/04/2024,BBCA,9147
01/07/2024,BBCA,9533
02/07/2024,BBCA,9557
03/07/2024,BBCA,9653
04/07/2024,BBCA,9484
05/07/2024,BBCA,9605
08/07/2024,BBCA,9702
09/07/2024,BBCA,9726
10/07/2024,BBCA,9750
11/07/2024,BBCA,9726
12/07/2024,BBCA,9726
15/07/2024,BBCA,9702
16/07/2024,BBCA,9605
17/07/2024,BBCA,9460
18/07/2024,BBCA,9750
19/07/2024,BBCA,9774
01/10/2024,BBCA,10184
02/10/2024,BBCA,10136
03/10/2024,BBCA,10088
04/10/2024,BBCA,10112
07/10/2024,BBCA,9943
08/10/2024,BBCA,10039
09/10/2024,BBCA,10064
10/10/2024,BBCA,10136
11/10/2024,BBCA,10015
14/10/2024,BBCA,10136
15/10/2024,BBCA,10257
16/10/2024,BBCA,10112
17/10/2024,BBCA,10353
18/10/2024,BBCA,10377
02/01/2025,BBCA,9604
03/01/2025,BBCA,9556
06/01/2025,BBCA,9386
07/01/2025,BBCA,9241
08/01/2025,BBCA,9386
09/01/2025,BBCA,9556
10/01/2025,BBCA,9435
13/01/2025,BBCA,9386
14/01/2025,BBCA,9241
15/01/2025,BBCA,9507
16/01/2025,BBCA,9459
17/01/2025,BBCA,9604
20/01/2025,BBCA,9338
