Date,Bank,ROA,ROE,NIM,NPL,CAR,EPS,BOPO
31/03/20,BBCA,3.17,15.56,6.3,0.59,22.50,267,77.09
30/06/20,BBCA,3.12,15.62,5.96,1.05,22.93,495,66.59
30/09/20,BBCA,3.38,16.87,5.83,0.74,24.72,813,65.57
31/12/20,BBCA,3.32,16.54,5.70,0.74,25.83,220,63.45
31/03/21,BBCA,3.05,15.82,5.30,0.70,24.53,285,63.27
30/06/21,BBCA,3.14,16.93,5.25,0.90,25.33,586,60.28
30/09/21,BBCA,3.49,18.72,5.17,0.89,26.15,941,54.29
31/12/21,BBCA,2.80,18.25,5.10,0.78,25.66,255,54.15
31/03/22,BBCA,2.48,16.80,4.92,0.79,23.86,65,56.73
30/06/22,BBCA,2.83,19.56,4.98,0.69,24.72,146,52.38
30/09/22,BBCA,3.69,20.65,5.13,0.66,25.36,235,48.55
31/12/22,BBCA,3.19,21.70,5.34,0.59,25.77,330,46.54
31/03/23,BBCA,3.41,22.28,5.59,0.57,18.86,94,48.16
30/06/23,BBCA,3.66,24.18,5.56,0.67,29.47,196,44.09
30/09/23,BBCA,4.42,23.53,5.52,0.68,29.50,295,44.43
31/12/23,BBCA,3.63,23.49,5.54,0.58,29.44,395,43.70
31/03/24,BBCA,3.56,22.70,5.62,0.63,26.30,104,43.96
30/06/24,BBCA,3.84,24.77,5.69,0.76,27.76,218,41.08
30/09/24,BBCA,3.89,24.70,5.78,0.72,29.31,333,41.22
31/12/24,BBCA,3.94,24.56,5.83,0.59,29.36,445,41.67



]
