Date,Bank,ROA,ROE,NIM,NPL,CAR,EPS,BOPO
31/03/20,BNLI,1.62,8.96,4.96,2.16,20.64,7.06,75.88
30/06/20,BNLI,0.93,3.47,4.53,1.80,21.26,13.07,89.35
30/09/20,BNLI,0.68,2.67,4.42,1.48,21.60,14.33,92.04
31/12/20,BNLI,0.97,3.10,4.56,1.04,35.68,,88.76
31/03/21,BNLI,1.30,4.71,4.23,0.97,35.21,17.61,82.25
30/06/21,BNLI,1.02,3.94,4.43,1.17,35.43,22.78,86.61
30/09/21,BNLI,0.82,3.14,4.39,0.87,34.04,27.73,88.31
31/12/21,BNLI,0.73,2.88,4.02,0.69,34.94,17.61,90.07
31/03/22,BNLI,1.60,6.74,3.81,0.62,33.12,,72.46
30/06/22,BNLI,1.54,6.41,4.02,0.48,32.96,39.50,74.20
30/09/22,BNLI,1.64,6.66,4.22,0.33,33.17,62.00,73.43
31/12/22,BNLI,1.10,4.46,4.31,0.36,34.19,55.65,82.44
31/03/23,BNLI,1.57,6.58,4.57,0.35,41.40,20.89,78.09
30/06/23,BNLI,1.45,6.11,4.47,0.32,38.96,38.88,79.79
30/09/23,BNLI,1.47,6.15,4.46,0.48,39.41,59.16,79.66
31/12/23,BNLI,1.34,5.54,4.47,0.38,38.73,71.45,81.70
31/03/24,BNLI,1.67,6.64,4.37,0.33,37.72,22.31,77.67
30/06/24,BNLI,1.59,6.28,4.34,0.35,35.44,42.28,78.74
30/09/24,BNLI,1.90,7.59,4.35,0.36,33.15,76.99,75.26
31/12/24,BNLI,1.82,7.24,4.34,0.35,34.65,98.57,76.14
